DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'028902",106,14.7,721,585,9.7,6026,16,0.3,610,4535,13.5,1788,29.7,153,2.5,129,2,252,4.2,4689,77.8,3015,50,30,0.5,315,5.2,4748,78.8,105,1.7,32,0.5,16,0.3,1867,31,3011,50,8,0.1,5,0.1,1337,22.2,3,0,4338,72,680,11.3,2787,46.2,85,1.4,1005,16.7,1789,29.6,315,5.2,697,11.5
"'028903",33,17.1,193,87,6.2,1408,3,0.2,137,1026,13.4,191,13.6,94,6.7,30,1.9,59,4.2,1083,76.9,682,48.4,5,0.4,54,3.8,963,68.4,47,3.3,15,1.1,1,0.1,196,13.9,726,51.6,5,0.4,3,0.2,325,23.1,2,0.1,955,67.8,201,14.3,0,0,28,2,317,22.5,191,13.5,54,3.8,209,14.7
"'028906",10,35.7,28,6,2.7,221,1,0.5,36,205,17.6,24,10.9,12,5.4,2,0.8,9,4.1,152,68.8,95,43,0,0,12,5.4,136,61.5,0,0,0,0,1,0.5,25,11.3,126,57,0,0,0,0,69,31.2,0,0,43,19.5,23,10.4,220,99.5,7,3.2,64,29,24,10.9,12,5.4,23,10.4
"'029901",66,18.1,364,262,7.2,3661,224,6.1,346,3045,11.4,487,13.3,58,1.6,70,1.7,100,2.7,2175,59.4,1784,48.7,1,0,257,7,2436,66.5,102,2.8,32,0.9,7,0.2,488,13.3,1877,51.3,11,0.3,133,3.6,1486,40.6,1,0,1578,43.1,338,9.2,2621,71.6,24,0.7,911,24.9,488,13.3,257,7,355,9.6
"'030901",6,12.5,48,32,8.9,360,1,0.3,49,313,15.7,9,2.5,0,0,0,0,22,6.1,236,65.6,178,49.4,5,1.4,17,4.7,58,16.1,13,3.6,0,0,1,0.3,9,2.5,182,50.6,0,0,2,0.6,124,34.4,0,0,184,51.1,52,14.4,209,58.1,1,0.3,299,83.1,9,2.5,17,4.7,55,15.2
"'030902",25,12.1,207,92,6.6,1393,1,0.1,172,1013,17,11,0.8,15,1.1,24,1.5,52,3.7,652,46.8,662,47.5,8,0.6,70,5,223,16,34,2.4,0,0,1,0.1,12,0.9,731,52.5,1,0.1,46,3.3,741,53.2,0,0,548,39.3,185,13.3,999,71.7,57,4.1,1096,78.7,11,0.8,70,5,189,13.5
"'030903",16,32.7,49,16,5.7,279,0,0,37,196,18.9,1,0.4,1,0.4,1,0.3,11,3.9,163,58.4,124,44.4,1,0.4,22,7.9,58,20.8,20,7.2,0,0,0,0,1,0.4,155,55.6,0,0,1,0.4,116,41.6,0,0,109,39.1,41,14.7,156,55.9,5,1.8,215,77.1,1,0.4,22,7.8,43,15.3
"'030906",6,8.8,68,30,6.6,454,3,0.7,50,349,14.3,0,0,1,0.2,3,0.6,17,3.7,188,41.4,236,52,1,0.2,25,5.5,76,16.7,0,0,0,0,3,0.7,0,0,218,48,0,0,9,2,266,58.6,2,0.4,94,20.7,67,14.8,283,62.3,12,2.6,357,78.6,0,0,25,5.5,67,14.8
"'031901",953,15.5,6140,3729,9.2,40737,70,0.2,3848,33946,11.3,14338,35.2,44,0.1,356,0.8,2649,6.5,36351,89.2,19957,49,131,0.3,4659,11.4,40138,98.5,595,1.5,405,1,5,0,14530,35.7,20780,51,428,1.1,199,0.5,4386,10.8,8,0,28480,69.9,5865,14.4,40346,99,15,0,457,1.1,14340,35.2,4659,11.4,5891,14.5
"'031903",486,21.6,2247,1005,5.6,17863,72,0.4,1966,13378,14.7,3150,17.6,82,0.5,449,2.3,718,4,14182,79.4,8595,48.1,50,0.3,1204,6.7,16699,93.5,85,0.5,41,0.2,8,0,2574,14.4,9268,51.9,325,1.8,275,1.5,3681,20.6,5,0,9513,53.3,2112,11.8,12280,68.7,79,0.4,918,5.1,3152,17.6,1204,6.7,2125,11.9
