DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'014906",1962,27.3,7195,4761,10.9,43839,1012,2.3,10789,32865,32.8,4563,10.4,14978,34.2,481,1,2836,6.5,27132,61.9,21594,49.3,246,0.6,11271,1362,3.1,14364,32.8,262,0.6,276,0.6,198,0.5,4895,11.2,22245,50.7,0,0,12181,27.8,16707,38.1,899,2.1,25630,58.5,6306,14.4,26824,61.2,4013,9.2,6441,57.1,6683,15.2,8375,19.1,4565,10.4,1362,3.1,6345,14.5
"'014907",12,11.9,101,108,12.1,893,5,0.6,59,681,8.7,59,6.6,11,1.2,4,0.4,80,9,421,47.1,418,46.8,12,1.3,295,69,7.7,280,31.4,9,1,7,0.8,1,0.1,62,6.9,475,53.2,0,0,58,6.5,472,52.9,0,0,431,48.3,89,10,397,44.5,21,2.4,237,80.3,301,33.7,575,64.4,59,6.6,69,7.7,92,10.3
"'014908",34,16.9,201,245,11,2233,10,0.4,142,1588,8.9,126,5.6,30,1.3,15,0.7,117,5.2,523,23.4,1065,47.7,15,0.7,673,143,6.4,544,24.4,3,0.1,15,0.7,3,0.1,126,5.6,1168,52.3,3,0.1,603,27,1710,76.6,6,0.3,627,28.1,204,9.1,1015,45.5,89,4,517,76.8,517,23.2,1551,69.5,126,5.6,143,6.4,209,9.3
"'014909",406,28.3,1436,831,9.9,8395,120,1.4,1414,6385,22.1,1145,13.6,1975,23.5,190,2.1,497,5.9,6508,77.5,4093,48.8,5,0.1,2386,409,4.9,3911,46.6,106,1.3,93,1.1,31,0.4,1156,13.8,4302,51.2,0,0,641,7.6,1887,22.5,26,0.3,5424,64.6,1306,15.6,6038,71.9,490,5.8,1838,77,2116,25.2,1842,21.9,1147,13.6,409,4.8,1324,15.7
"'014910",31,12,259,196,12,1636,3,0.2,130,1237,10.5,88,5.4,35,2.1,9,0.5,117,7.2,749,45.8,793,48.5,8,0.5,454,71,4.3,510,31.2,15,0.9,2,0.1,4,0.2,88,5.4,843,51.5,0,0,53,3.2,887,54.2,6,0.4,746,45.6,262,16,1182,72.2,62,3.8,292,64.3,294,18,1016,62.1,88,5.4,71,4.3,263,16.1
"'015801",13,68.4,19,9,7.3,124,0,0,69,99,69.7,0,0,3,2.4,0,0,6,4.8,114,91.9,58,46.8,1,0.8,124,0,0,115,92.7,1,0.8,0,0,0,0,0,0,66,53.2,0,0,1,0.8,10,8.1,0,0,120,96.8,8,6.5,124,100,1,0.8,72,58.1,72,58.1,5,4,0,0,0,0,8,6.5
"'015802",34,23.6,144,19,2.4,776,1,0.1,479,861,55.6,142,18.3,379,48.8,0,0,25,3.2,673,86.7,412,53.1,1,0.1,73,14,1.8,363,46.8,22,2.8,0,0,2,0.3,134,17.3,364,46.9,0,0,4,0.5,103,13.3,2,0.3,425,54.8,103,13.3,776,100,15,1.9,59,80.8,61,7.9,14,1.8,142,18.3,14,1.8,103,13.3
"'015805",1,2.9,35,12,8.1,149,0,0,24,121,19.8,10,6.7,4,2.7,0,0,6,4,110,73.8,77,51.7,0,0,149,0,0,138,92.6,5,3.4,0,0,0,0,10,6.7,72,48.3,0,0,1,0.7,39,26.2,0,0,54,36.2,5,3.4,149,100,0,0,28,18.8,28,18.8,7,4.7,10,6.7,0,0,5,3.4
"'015806",6,16.2,37,30,8.5,353,1,0.3,73,274,26.6,85,24.1,85,24.1,0,0,17,4.8,318,90.1,184,52.1,0,0,81,0,0,245,69.4,8,2.3,3,0.8,1,0.3,86,24.4,169,47.9,0,0,7,2,35,9.9,1,0.3,307,87,37,10.5,353,100,3,0.8,71,87.7,72,20.4,17,4.8,85,24.1,0,0,37,10.5
"'015807",36,27.5,131,55,6.9,794,4,0.5,286,731,39.1,78,9.8,99,12.5,2,0.2,35,4.4,655,82.5,395,49.7,3,0.4,176,36,4.5,543,68.4,20,2.5,4,0.5,0,0,84,10.6,399,50.3,1,0.1,12,1.5,139,17.5,0,0,584,73.6,96,12.1,794,100,16,2,96,54.5,162,20.4,132,16.6,78,9.8,36,4.5,96,12.1
"'015808",116,60.1,193,75,11.8,636,3,0.5,235,523,44.9,23,3.6,51,8,0,0,46,7.2,383,60.2,288,45.3,31,4.9,248,0,0,355,55.8,0,0,0,0,1,0.2,25,3.9,348,54.7,1,0.2,2,0.3,253,39.8,2,0.3,174,27.4,97,15.3,635,99.8,19,3,143,57.7,146,23,205,32.2,23,3.6,0,0,97,15.3
